name,url,duration,test_type,remote_support,adaptive_support,combined_text
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,0,[],No,No,Account Manager Solution []
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,0,[],No,No,Administrative Professional - Short Form []
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,0,[],No,No,Agency Manager Solution []
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,0,[],No,No,Apprentice + 8.0 Job Focused Assessment []
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,0,[],No,No,Apprentice 8.0 Job Focused Assessment []
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,0,[],No,No,Bank Administrative Assistant - Short Form []
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,0,[],No,No,Bank Collections Agent - Short Form []
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,0,[],No,No,Bank Operations Supervisor - Short Form []
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,0,[],No,No,Bilingual Spanish Reservation Agent Solution []
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,0,[],No,No,"Bookkeeping, Accounting, Auditing Clerk Short Form []"
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,0,[],No,No,Branch Manager - Short Form []
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,0,[],No,No,Cashier Solution []
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,0,[],No,No,Account Manager Solution []
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,0,[],No,No,Administrative Professional - Short Form []
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,0,[],No,No,Agency Manager Solution []
